,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
4521,tv show,salt fat acid heat,unknown,samin nosrat,unknown,11-oct-18,2018,tv-pg,360,docuseries,"chef and food writer samin nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way."
4523,tv show,blood pact,unknown,"guilherme fontes, ravel cabral, jonathan haagensen, andré ramiro, adriano garib, mel lisboa, cristina lago",brazil,10-oct-18,2018,tv-ma,360,"crime tv shows, international tv shows, tv dramas","an ambitious tv reporter uses risky and ethically questionable methods to report on gang wars and police corruption in the amazon port of belém, brazil."
4524,movie,tales from the hood 2,"rusty cundieff, darin scott","keith david, bryan batt, alexandria deberry, bill martin williams, martin bats bradford, kendrick cross, jasmine akakpo, kedrick brown",united states,10-oct-18,2018,r,110,"cult movies, horror movies, independent movies",buckle up for an anthology of socially conscious horror stories that focus on the perils of racial injustice and the price of ignorance.
4525,movie,mo amer: the vagabond,stan lathan,mo amer,united states,09-oct-18,2018,tv-ma,57,stand-up comedy,"arab-american comedian mo amer recounts his life as a refugee comic, from traveling with the name mohammed to his long path to citizenship."
4526,movie,pulang,kabir bhatia,"puteri aishah, remy ishak, alvin wong",malaysia,08-oct-18,2018,tv-14,119,"action & adventure, dramas, international movies","thom tells her grandson about his grandfather, a sailor who left 61 years ago to seek his fortune, and asks him to find out what happened to her spouse."
4527,tv show,sofia the first,unknown,"ariel winter, darcy rose byrnes, sara ramirez, tim gunn, coco grayson, travis willingham, wayne brady, jess harnell, meghan strange, zach callison",united states,08-oct-18,2017,tv-y,720,kids' tv,"when her commoner mother marries the king, average-girl sofia finds that being a real princess isn't all it's cracked up to be."
4528,movie,seven in heaven,chris eigeman,"travis tope, haley ramm, jacinda barrett, gary cole, dylan everett, clark backo, vinson tran, paulino nunes, jeff clarke",united states,06-oct-18,2018,pg-13,94,horror movies,two teenagers step into a secret closet and emerge in a terrifying alternate reality. they must find their way back before the door shuts forever.
4529,tv show,dancing queen,unknown,"justin ""alyssa edwards"" johnson",unknown,05-oct-18,2018,tv-14,360,reality tv,snatching trophies. getting gorgeous. turning it up. alyssa edwards rules the dance studio by day – and the drag world by night.
4530,tv show,empire games,unknown,jim o'brien,"czech republic, united states",05-oct-18,2018,tv-14,360,docuseries,interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.
4531,tv show,lost song,unknown,"konomi suzuki, yukari tamura, misaki kuno, chiaki takahashi, seiichiro yamashita, asami seto, yu serizawa, ai kayano, tsuyoshi koyama, yuto suzuki, mitsuru ogata, hiroshi ito",japan,05-oct-18,2018,tv-14,360,"anime series, international tv shows","war looms over the kingdom of neunatia, where two young women are both burdened and blessed by the power of song."
4532,movie,malevolent,olaf de fleur,"florence pugh, ben lloyd-hughes, celia imrie, james cosmo, scott chambers, georgina bevan",united kingdom,05-oct-18,2018,tv-ma,89,"horror movies, thrillers","a brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real."
4533,movie,private life,tamara jenkins,"paul giamatti, kathryn hahn, kayli carter, molly shannon, john carroll lynch, denis o'hare, desmin borges, tracee chimo, siobhan fallon hogan, emily robinson",united states,05-oct-18,2018,r,124,"comedies, dramas, independent movies","struggling to conceive, a couple in their 40s are almost out of options – until a sliver of hope arrives in the form of their visiting step-niece."
4534,movie,super monsters save halloween,unknown,"elyse maloway, vincent tong, erin matthews, andrea libman, alessandro juliani, nicole anthony, diana kaarina, ian james corlett, britt mckillip, kathleen barr",unknown,05-oct-18,2018,tv-y,25,children & family movies,"the super monsters use their powers to get their neighbors in the halloween spirit, then help a nervous friend see there's nothing to be afraid of."
4535,tv show,yg future strategy office,unknown,"seungri, yoo byung jae, lee jai-jin, jinu, son se-bin, kim ga-eun, park choong-hwan, baek yeong-gwang, choi sin-deuk",south korea,05-oct-18,2018,tv-ma,360,"international tv shows, korean tv shows, tv comedies","k-pop star seungri, bigbang's youngest member, tries to lead a team of bumbling staff at yg's future strategy office in this mockumentary sitcom."
4536,tv show,violet evergarden: special,unknown,"yui ishikawa, takehito koyasu, daisuke namikawa, aya endo, kouki uchiyama, minori chihara, haruka tomatsu, yoko hikasa",unknown,04-oct-18,2018,tv-pg,360,"anime series, international tv shows, romantic tv shows","auto memory doll violet evergarden writes letters for people who can’t, learning about her war-torn country and her own hardened heart along the way."
4537,movie,the black prince,kavi raz,"satinder sartaaj, shabana azmi, jason flemyng, amanda root, rup magon, sophie stevens, keith duffy, david essex, leanne joyce, ranjit singh shubh","united kingdom, india, united states",03-oct-18,2017,pg-13,121,"dramas, international movies","after being exiled to england as a child, a punjabi prince struggles to return to his homeland and his sikh faith in this historical drama."
4538,movie,truth or dare,nick simon,"cassandra scerbo, brytni sarpy, mason dye, harvey guillen, luke baines, ricardo hoyos, alexxis lemire, christina masterson, heather langenkamp",united states,03-oct-18,2017,tv-ma,88,horror movies,"a game of ""truth or dare"" among college friends on spring break turns deadly when a demon seems determined to use it to kill them all."
4539,movie,death race: beyond anarchy,don michael paul,"zach mcgowan, danny glover, frederick koehler, danny trejo, christine marzano, cassie clare, yennis cheung, lucy aarden","united states, bulgaria",02-oct-18,2017,r,111,action & adventure,"an ex-racecar driver is sent to a barbaric prison where, to get pardoned, he must defeat the inmate known as frankenstein in a lethal ""death race."""
4540,movie,eric ldle's what about dick?,"eric idle, aubrey powell","russell brand, billy connolly, tim curry, eric idle, eddie izzard, jane leeves, jim piddock, tracey ullman, sophie winkleman",united states,02-oct-18,2012,tv-ma,81,"comedies, music & musicals","in a madcap stage play from monty python icon eric idle, comic greats perform the decline and fall of the british empire ... as told through a piano."
4541,movie,joe rogan: strange times,anthony giordano,joe rogan,unknown,02-oct-18,2018,tv-ma,64,stand-up comedy,"outspoken as ever, comedian joe rogan takes on current culture, pro wrestling, pot laws, cats, vegans and more in a stand-up special shot in boston."
4542,tv show,monty python best bits (mostly),unknown,"hugh bonneville, graham chapman, john cleese, terry gilliam, eric idle, terry jones, michael palin",united kingdom,02-oct-18,2014,tv-ma,360,"british tv shows, docuseries, tv comedies","prominent comedians pay tribute to monty python's best work in this five-part series, along with selected clips of sketches."
4543,movie,monty python conquers america,will yapp,"graham chapman, eric idle, terry jones, michael palin, terry gilliam, john cleese",unknown,02-oct-18,2008,tv-ma,55,documentaries,follow the evolution of the british sketch comedy troupe that redefined humor and shaped an entire generation of american comics.
4544,movie,"monty python live (mostly): one down, five to go",eric idle,"john cleese, terry gilliam, eric idle, terry jones, michael palin",united kingdom,02-oct-18,2014,tv-ma,137,comedies,"live from london in a sold-out final show, surviving members of the british comedy troupe reprise old roles and break out in irreverent song and dance."
4545,movie,monty python: before the flying circus,will yapp,"graham chapman, eric idle, terry jones, michael palin, terry gilliam, john cleese",united kingdom,02-oct-18,2000,tv-ma,56,"comedies, documentaries","discover how six seemingly ordinary but supremely talented men became monty python, sketch comedy's revolutionary comedy troupe."
4546,movie,monty python: live at aspen,unknown,"robert klein, john cleese, terry gilliam, eric idle, terry jones, michael palin, graham chapman, eddie izzard",united states,02-oct-18,1998,tv-ma,58,"comedies, documentaries",the members of monty python reunite on stage to talk about making their iconic show that changed sketch comedy forever.
4547,movie,monty python: live at the hollywood bowl,"terry hughes, ian macnaughton","graham chapman, john cleese, terry gilliam, eric idle, terry jones, michael palin, neil innes, carol cleveland",united kingdom,02-oct-18,1982,r,80,comedies,"film clips and terry gilliam animations feature in this live-to-tape performance of greatest hits, including ""travel agent"" and ""solo wrestling."""
4548,movie,monty python: the meaning of live,"roger graef, james rogan","john cleese, terry gilliam, eric idle, terry jones, michael palin, mike myers, graham chapman, stephen hawking",united kingdom,02-oct-18,2014,tv-ma,94,documentaries,"from heyday to curtain call, this documentary offers a rare glimpse of the legendary monty python troupe as it stages live shows after a long hiatus."
4549,tv show,monty python's almost the truth,unknown,"graham chapman, eric idle, john cleese, michael palin, terry gilliam, terry jones",united kingdom,02-oct-18,2009,tv-ma,360,"british tv shows, docuseries","the legacy of comedy group monty python, whose irreverent brand of humor has tickled the ribs of millions, is explored in this documentary."
4550,tv show,monty python's fliegender zirkus,unknown,"graham chapman, john cleese, eric idle, terry jones, michael palin, connie booth","united kingdom, west germany",02-oct-18,1972,tv-ma,360,"international tv shows, tv comedies","the pythons elevate the absurd to new heights and bring their sketches to german tv, working in phonetic german, at times with an australian accent."
4551,tv show,monty python's flying circus,unknown,"john cleese, graham chapman, terry jones, eric idle, michael palin, terry gilliam",united kingdom,02-oct-18,1974,tv-14,720,"british tv shows, classic & cult tv, international tv shows","the monty python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing."
4552,movie,monty python's life of brian,terry jones,"graham chapman, john cleese, terry gilliam, eric idle, terry jones, michael palin, terence bayler, carol cleveland",united kingdom,02-oct-18,1979,r,94,"classic movies, comedies, cult movies","born in a stable in judea, brian grows up to join a group of anti-roman zealots, but his fate keeps getting confused with that of a certain carpenter."
4553,tv show,monty python's personal best,unknown,"john cleese, terry gilliam, terry jones, graham chapman, michael palin, eric idle","united states, united kingdom",02-oct-18,2005,tv-ma,360,"british tv shows, tv comedies",original members of the iconic monty python comedy troupe pick their all-time favorite sketches from their groundbreaking television series.
4554,movie,parrot sketch not included: twenty years of monty python,ian macnaughton,"steve martin, john cleese, graham chapman, terry gilliam, eric idle, terry jones, michael palin, carol cleveland, connie booth",united kingdom,02-oct-18,1989,tv-14,72,comedies,"presented by steve martin, this anthology draws from “flying circus” and “fliegender zirkus” to mark the 20th anniversary of the tv series."
4555,movie,the meaning of monty python,albert sharpe,unknown,united kingdom,02-oct-18,2013,tv-ma,60,documentaries,"five pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""the meaning of life."""
4556,movie,25 kille,simranjit singh hundal,"guggu gill, yograj singh, sonia mann, jimmy sharma, sapna bassi, lakha lakhwinder singh, sandeep kaur sandy, sardar sohi",india,01-oct-18,2016,tv-14,140,"action & adventure, dramas, international movies","four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over."
4557,movie,a witches' ball,justin g. dyck,"morgan neundorf, karen slater, loukia ioannou, will ennis, renee stein, keith cooper, paul mason, lisa scenna, ashley rogan",canada,01-oct-18,2017,pg,91,children & family movies,"beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast."
4558,movie,agyaat,ram gopal varma,"adesh bhardwaj, rasika dugal, joy fernandes, ravi kale, ishtiyak khan, priyanka kothari, kali prasad mukherjee, nitin reddy, gautam rode, howard rosemeyer",india,01-oct-18,2009,tv-14,97,"horror movies, international movies",a film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.
4559,movie,anjaan,n. linguswamy,"suriya, samantha ruth prabhu, vidyut jammwal, manoj bajpayee, soori",india,01-oct-18,2014,tv-14,146,"action & adventure, dramas, international movies","mild-mannered krishna comes to mumbai to search for his gang-leader brother, and quickly finds himself in way over his head."
4560,movie,bathinda express,deep joshi,"deep joshi, jasmine kaur, mohit bhaskar, vijay s. kumar, prince kanwaljit singh, tarlochan singh, harsh sethi",india,01-oct-18,2016,tv-14,118,"dramas, international movies, sports movies",an ambitious young athlete endeavors to revive his floundering running career after falling prey to negative influences.
4561,movie,delhi 6,rakeysh omprakash mehra,"abhishek bachchan, sonam kapoor, waheeda rehman, om puri, prem chopra, atul kulkarni, pavan malhotra, divya dutta, deepak dobriyal, sheeba chaddha",india,01-oct-18,2009,tv-14,128,"dramas, international movies","in the ancient walled city of delhi, an american-born indian finds himself on an unexpected inner journey as he learns about himself and his roots."
4562,movie,dev.d,anurag kashyap,"abhay deol, mahie gill, kalki koechlin, sindbad phgura, ammo 'too sweet', jimi the quiff, parakh madan",india,01-oct-18,2009,tv-ma,137,"dramas, international movies, romantic movies","because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths."
4563,movie,dil vil pyaar vyaar,manjeet maan,"gurdas maan, neeru bajwa, jassi gill, rajiv thakur, khushdeed maan, manav vij, raj jhinger, shruti sodhi, meher vij",india,01-oct-18,2014,tv-pg,145,"international movies, music & musicals, romantic movies","agam singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry – but they want him to marry first."
4564,movie,dushman,shagufta rafique,"kartar cheema, jashan singh, sakshi gulati, gulshan grover, savita bhatti, yashpal sharma, mohit sharma, sukhwinder sohi",unknown,01-oct-18,2017,tv-14,141,"dramas, international movies",an indian hotel waiter forms an unlikely bond with a pakistani colleague when the establishment’s criminal owner threatens to ruin both their lives.
4565,movie,ek main aur ekk tu,shakun batra,"kareena kapoor, imran khan, boman irani, ram kapoor, ratna pathak shah, zenobia shroff, soniya mehra, akshat verma, dana lewis, rajesh khattar",india,01-oct-18,2012,tv-14,106,"comedies, international movies, romantic movies",bollywood stars imran khan and kareena kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.
4566,movie,freedom at midnight,tinu pappachan,"antony varghese, vinayakan, chemban vinod jose, tito wilson, sinoj varghese, aswathy manoharan",unknown,01-oct-18,2018,tv-ma,135,"dramas, independent movies, international movies","jailed after becoming entangled in the murder of a cop, a prisoner assembles a team of inmates to hatch a plan for making a getaway."
4567,movie,haani,amitoj mann,"sarabjit cheema, mahreen kaleka, harbhajan mann, anuj sachdeva, rupan bal, sonia mann",india,01-oct-18,2013,tv-14,137,"dramas, international movies, music & musicals","when a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart."
4568,movie,happy go lucky,amarpreet g s chabbra,"amrinder gill, harish verma, sumeet sandhu, gurpreet guggi, b.n. sharma, praneet bhatt, kuldeep sharma",india,01-oct-18,2014,tv-14,129,"comedies, international movies, music & musicals","three sisters seem to be ideal brides for three brothers. but when the girls' father won't allow the marriages, the boys use trickery to pull it off."
4569,movie,harishchandrachi factory,paresh mokashi,"nandu madhav, vibhawari deshpande, ambarish deshpande, mohit gokhale, dilip joglekar, dheeresh joshi, ketan karande, atharva karve, mayur khandge, sandip pathak",india,01-oct-18,2009,tv-pg,99,"dramas, international movies","against a backdrop of burgeoning social unrest, a neophyte filmmaker makes history in 1913 as the director of india's first feature-length film."
4570,tv show,hot date,unknown,"emily axford, brian murphy",united states,01-oct-18,2018,tv-ma,360,"romantic tv shows, tv comedies",interconnected sketches and performances skewer the madness and misunderstandings of modern relationships.
4571,movie,jagga jasoos,anurag basu,"ranbir kapoor, katrina kaif, saurabh shukla, saswata chatterjee, rajatabha dutta, saravajeet tiwari",india,01-oct-18,2017,tv-14,155,"action & adventure, comedies, international movies","an eccentric, self-proclaimed detective goes on an action-packed hunt for his missing father, with an awkward but adventurous journalist by his side."
4572,movie,jatt james bond,rohit jugraj,"gippy grewal, gurpreet guggi, zarine khan",india,01-oct-18,2014,tv-14,142,"comedies, dramas, international movies","shinda loves laali but can't have her, so he and his friends come up with an elaborate plan to solve all their problems and win her."
4573,movie,jodhaa akbar,ashutosh gowariker,"hrithik roshan, aishwarya rai bachchan, sonu sood, poonam sinha, suhasini mulay, ila arun, raza murad, kulbhushan kharbanda, abeer abrar",india,01-oct-18,2008,tv-14,214,"action & adventure, dramas, international movies","in 16th-century india, what begins as a strategic alliance between a mughal emperor and a hindu princess becomes a genuine opportunity for true love."
4574,movie,judge singh llb,atharv baluja,"ravinder grewal, b.n. sharma, sardar sohi, chandan prabhakar, anita devgan, harpal singh, hardeep gill, surbhi mahendru",india,01-oct-18,2015,tv-pg,137,"comedies, dramas, international movies","framed by a politician for committing murder, a lower-class boy hires the only counsel he can afford: a lawyer with no courtroom experience."
4575,movie,kaminey,vishal bhardwaj,"shahid kapoor, priyanka chopra, deb mukherjee, shivkumar subramaniam, chandan roy sanyal, hrishikesh joshi, amole gupte, patricia bull, carlos paca, eric santos",india,01-oct-18,2009,tv-14,128,"dramas, international movies, music & musicals","a young man pursues his dreams of wealth by breaking the law, while his twin brother tries to better his life through hard work and honesty."
4576,movie,khido khundi,rohit jugraj,"ranjit bawa, mandy takhar, manav vij, elnaaz norouzi, mahavir bhullar, guggu gill, seema kaushal, sukhbir singh",india,01-oct-18,2018,tv-14,151,"dramas, international movies, sports movies",an embittered former hockey star must engage with the sport again to help his brother assemble a team for a momentous match against the british.
4577,movie,khoobsurat,shashanka ghosh,"sonam kapoor, fawad khan, kiron kher, ratna pathak shah, amir raza hussain, ashok banthia, kaizaad kotwal, rishabh chaddha",india,01-oct-18,2014,tv-14,121,"comedies, international movies, romantic movies",a free-spirited doctor is hired to assist an injured king and winds up challenging his family's tradition-bound lifestyle as she falls for his son.
4578,movie,kisaan,puneet sira,"jackie shroff, arbaaz khan, sohail khan, diya mirza, nauheed cyrusi, sharat saxena, dalip tahil, vishwajeet pradhan, sarfaraz khan",india,01-oct-18,2009,tv-14,101,"action & adventure, dramas, international movies",a bitter family battle ensues between a father and his sons when a businessman makes a deal that entices farmers to sell off their properties.
4579,movie,kismat konnection,aziz mirza,"shahid kapoor, vidya balan, juhi chawla, om puri, vishal malhotra, karanvir bohra, amit varma",india,01-oct-18,2008,tv-14,145,"comedies, dramas, international movies","a man finds his lucky charm in the form of a woman whom he had once clashed with on every level, but on whose presence he must now rely to succeed."
4580,movie,kurbaan,renzil d'silva,"kareena kapoor, saif ali khan, om puri, diya mirza, vivek oberoi, kulbhushan kharbanda, kiron kher, rupinder nagra, nauheed cyrusi",india,01-oct-18,2009,tv-14,147,"international movies, thrillers","when a young indian couple moves to the american suburbs, they are shocked to discover that they've become enmeshed in a secret terrorist plot."
4581,movie,lock,smeep kang,"gippy grewal, gurpreet guggi, smeep kang, geeta basra, karamjit anmol, harpal singh, vikram grover, priyanka sharma",india,01-oct-18,2016,tv-14,90,"dramas, international movies","a disillusioned rickshaw driver in punjab dreams of moving to dubai, but his plan to butter up his would-be benefactor goes horribly wrong."
4582,movie,luv shuv tey chicken khurana,sameer sharma,"kunal kapoor, huma qureshi, rajesh sharma, vipin sharma, dolly ahluwalia, vinod nagpal, rahul bagga, rajendra sethi, munish makhija, herry tangri",india,01-oct-18,2012,tv-14,129,"comedies, international movies, romantic movies","fleeing london to evade a gangland debt collector, omi khurana returns to his native village in india, passing himself off as a successful lawyer."
4583,movie,"main, meri patni aur woh",chandan arora,"rajpal yadav, rituparna sengupta, kay kay menon, varun bandola, vinod nagpal, naseeruddin shah",india,01-oct-18,2005,tv-pg,129,"comedies, dramas, international movies","an ordinary-looking guy weds the woman of his dreams, but his jealousy threatens to destroy their union in this lighthearted tale of marital mismatch."
4584,movie,manje bistre,baljit singh deo,"gippy grewal, sonam bajwa, karamjit anmol, jaggi singh, b.n. sharma, hobby dhaliwal, rana ranbir, sardar sohi, anita devgan, harby sangha",india,01-oct-18,2017,tv-14,136,"comedies, dramas, international movies","while prepping for a family wedding, a young man falls for his sister’s friend, who has already been promised to someone else."
4585,movie,motor mitraan di,amitoj mann,"gurpreet guggi, happy raikoti, vikram singh, sonia mann, yograj singh, sardar sohi, harsharan singh, anita meet, prakash gadhu, gurmeet sajan",india,01-oct-18,2016,tv-pg,117,"comedies, international movies","when three brothers unwittingly get entangled in a murder associated with a fraudulent ashram leader, they set out to expose him to society as a fake."
4586,movie,mugamoodi,mysskin,"jiiva, pooja hegde, narain, nasser, girish karnad, anupama kumar, selvaah",india,01-oct-18,2012,tv-14,150,"action & adventure, international movies",a martial arts specialist accidentally becomes a superhero when he steps in – in costume – to help the cops catch a criminal.
4587,movie,muran,rajan madhav,"prasanna, cheran, haripriya, nikhita, suma bhattacharya, jayaprakash",india,01-oct-18,2011,tv-14,134,"action & adventure, international movies","when jingle composer nanda's car breaks down on his way to chennai, he hitchhikes there with arjun, who tries to rope nanda into a shady deal."
4588,movie,my friend pinto,raaghav dar,"prateik, kalki koechlin, arjun mathur, shruti seth, makrand deshpande, divya dutta, rajendranath zutshi, amin hajee, karim hajee, shakeel khan",india,01-oct-18,2011,tv-14,100,"comedies, international movies, sci-fi & fantasy",a bright-eyed villager comes face-to-face with the gritty realities of modern-day mumbai when he sets out to find his childhood friend.
4589,movie,my little pony equestria girls: forgotten friendship,ishi rudell,"ashleigh ball, andrea libman, rebecca shoichet, tabitha st. germain, tara strong, nicole oliver",united states,01-oct-18,2018,tv-y,44,children & family movies,school yearbook editor sunset shimmer has suddenly been erased from the memories of her best friends and must find out how to fix this.
4590,movie,my little pony equestria girls: rollercoaster of friendship,ishi rudell,"ashleigh ball, andrea libman, rebecca shoichet, tabitha st. germain, tara strong, tegan moss","united states, canada",01-oct-18,2018,tv-y,44,children & family movies,"rarity gets a summer job at equestria land, making applejack feel jealous. but when their friends start vanishing, they must work together to find them."
4591,movie,my suicide,david lee miller,"gabriel sunday, david carradine, mariel hemingway, brooke nevin, nora dunn, michael welch, zachary ray sherman, vanessa lengies, tony hale, joe mantegna",united states,01-oct-18,2009,tv-ma,111,"comedies, dramas, independent movies","after declaring that he's going to film himself committing suicide for a school project, archie videotapes reactions from friends and family."
4592,movie,naan sigappu manithan,thiru,"vishal, lakshmi menon, saranya ponvannan, jayaprakash, sunder ramu, jagan, iniya, chetan cheenu",india,01-oct-18,2014,tv-14,147,"action & adventure, dramas, international movies","after his sleeping disorder hinders him from protecting his girlfriend, a man sets out to take revenge on the thugs who attacked her."
4593,movie,nasha,amit saxena,"shivam patil, poonam pandey, sheetal singh, vishal bhosle, rohan khurana, ranbir chakma, raj kesaria, chirag lobo",india,01-oct-18,2013,tv-14,115,"dramas, international movies, romantic movies","a teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out."
4594,movie,naughty jatts,pankaj batra,"neeru bajwa, binnu dhillon, arya babbar, roshan prince, b.n. sharma, karamjit anmol, harby sangha",india,01-oct-18,2013,tv-pg,121,"comedies, international movies, music & musicals","when three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest."
4595,movie,needhi singh,jaivi dhanda,"kulraj randhawa, nirmal rishi, ashish duggal, aman sutdhar, dally daljit, seema kaushal, shubh ghumman, karan tiwana",india,01-oct-18,2016,tv-14,103,"action & adventure, dramas, international movies","when her friend’s rapist evades punishment from the law, a determined young woman takes revenge into her own hands in this story based on real events."
4596,movie,peace haven,suman ghosh,"soumitra chatterjee, paran banerjee, arun mukherjee, sujan mukherjee","india, united states",01-oct-18,2016,tv-14,73,"comedies, dramas, independent movies",complications around the cremation of their deceased friend inspire three septuagenarian friends to build their own mortuary.
4597,movie,phantom,kabir khan,"saif ali khan, katrina kaif, sabyasachi chakraborty, mohammed zeeshan ayyub, sohaila kapoor, denzil smith",india,01-oct-18,2015,tv-14,129,"action & adventure, international movies",india's primary intelligence agency sends an enigmatic operative on a top-secret mission to avenge the 11/26 terrorist attack on mumbai.
4598,movie,pizza,akshay akkineni,"akshay oberoi, parvathy omanakuttan, arunoday singh, dipannita sharma, rajesh sharma, omkar das manikpuri, hussain dalal, d. santosh",india,01-oct-18,2014,tv-14,102,"horror movies, international movies, thrillers",a pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.
4599,movie,pooja kiven aa,nidhi sharma,"miss pooja, tarun khanna, raj singh jhinger, sahil vedoliyaa, b.n. sharma, manoj joshi, anita shabdeesh, sardar sohi",india,01-oct-18,2013,tv-pg,122,"comedies, international movies, music & musicals","when a woman arrives in mumbai and hires three spirited boys to care for her estate, she discovers they're more trustworthy than her family members."
4600,movie,race,"mastan alibhai burmawalla, abbas alibhai burmawalla","saif ali khan, akshaye khanna, katrina kaif, bipasha basu, anil kapoor, sameera reddy",india,01-oct-18,2008,tv-14,155,"action & adventure, international movies, music & musicals",the plot thickens around two horse-racing competitors when three beautiful women come into their lives and a murder is committed.
4601,movie,race 2,"abbas alibhai burmawalla, mastan alibhai burmawalla","anil kapoor, saif ali khan, john abraham, deepika padukone, jacqueline fernandez, ameesha patel, rajesh khattar, chunky pandey",india,01-oct-18,2013,tv-14,139,"action & adventure, international movies, music & musicals","in this sequel set in the world of horse racing, half-brothers ranvir and rajiv singh return for another complex tale of love, greed and violence."
4602,movie,saadey cm saab,vipin parashar,"harbhajan mann, kashish singh, gurpreet guggi, rahul singh, dev gill, inder bajwa",india,01-oct-18,2015,tv-pg,131,"comedies, dramas, international movies",three old friends who have always hated politics are in for a shock when the friend who dislikes politics the most is somehow elected head minister.
4603,movie,sat shri akaal england,vikram pradhan,"ammy virk, monica gill, karamjit anmol, sardar sohi, jarnail singh, satwant kaur, harby sangha, baljinder darapuri",india,01-oct-18,2017,tv-14,127,"comedies, dramas, international movies","after several failed attempts to obtain a visa, a man desperate to escape punjab pays a british woman to marry him so he can move to england."
4604,tv show,strong,unknown,gabrielle reece,united states,01-oct-18,2016,tv-14,360,reality tv,gabrielle reece hosts a transformative competition of tough fitness challenges as 10 women partner with 10 elite personal trainers.
4605,movie,thaandavam,vijay,"vikram, jagapathi babu, anushka shetty, amy jackson, lakshmi rai, santhanam, nasser, saranya ponvannan",india,01-oct-18,2012,tv-14,156,"action & adventure, international movies, music & musicals","in london, a mysterious blind man named kenny appears to be an assassin who uses echolocation to kill, but there is more to kenny than meets the eye."
4606,movie,the birth reborn,eduardo chauvet,unknown,unknown,01-oct-18,2018,tv-ma,91,"documentaries, international movies","featuring experts in their fields and raw and moving footage, this documentary makes a case for increased autonomy in women's choices for childbirth."
4607,movie,theeya velai seyyanum kumaru,sundar c.,"siddarth, santhanam, hansika motwani, ganesh venkatraman, rj balaji, bosskey, manobala, chitra lakshmanan",india,01-oct-18,2013,tv-pg,132,"comedies, international movies, music & musicals","when shy kumar gets stuck on the losing end of a love triangle, the love doctor, mokia, has a strategy for kumar to win the love of his life."
4608,tv show,three wives one husband,unknown,unknown,united kingdom,01-oct-18,2018,tv-14,360,"british tv shows, international tv shows, reality tv","a film crew captures a year in the life of modern polygamist families at rockland ranch, a community for fundamentalist mormons in the utah desert."
4609,movie,tiger,sartaj singh pannu,"sippy gill, ihana dhillon, yograj singh, yashpal sharma, deedar gill, rahul jugraj, virender nath lubana, aneeta",india,01-oct-18,2016,tv-14,130,"action & adventure, dramas, international movies","imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him."
4610,movie,udaan,vikramaditya motwane,"rajat barmecha, ronit roy, ram kapoor, aayan boradia, manjot singh, anand tiwari, raja hudda, shaunak sengupta, varun khettry, akshay sachdev",india,01-oct-18,2010,tv-ma,137,"dramas, independent movies, international movies","upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future."
4611,movie,vettai,n. linguswamy,"arya, madhavan, sameera reddy, amala paul, nasser, ashutosh rana, sreejith ravi, muthukumar",india,01-oct-18,2012,tv-14,156,"action & adventure, international movies, music & musicals","this powerful tamil action film follows the shared fate of two very different siblings: policeman thiru and his roguish brother, guru."
4612,movie,wake up sid,ayaan mukherji,"ranbir kapoor, konkona sen sharma, shruti bapna, krutika bolaki, namit das, munir kabani, mohsin ali khan, anupam kher, rahul khanna, kainaz motivala",india,01-oct-18,2009,tv-14,132,"comedies, international movies, romantic movies",a spoiled trust fund brat finds himself stuck in a rut of meaningless late-night parties – until he meets a significantly older woman and writer.
4613,movie,we are family,sidharth malhotra,"kajol, kareena kapoor, arjun rampal, nominath ginsberg, iravati harshe, aachal munjal, diya sonecha","india, australia",01-oct-18,2010,tv-14,119,"dramas, international movies",a divorced mother of three children runs a happy household – until her former husband brings his new career-oriented girlfriend into the picture.
4614,movie,what the jatt!!,saket behl,"harish verma, isha rikhi, vipul roy, binnu dhillon, poonam rajput, b.n. sharma, satti sembi",india,01-oct-18,2015,tv-pg,140,"comedies, international movies, romantic movies","a peasant from punjab and his best friend pose as detectives, filmmakers and more while trying to retrieve stolen money in this romantic comedy."
